Image,PSO_PSNR,PSO_SSIM,PSO_Time(s),PSO_Plateau_Iter,GA_PSNR,GA_SSIM,GA_Time(s),GA_Plateau_Iter
Camera,28.309015160468824,0.8378890241089998,0.1520092487335205,7,28.281503381071484,0.8263754183136238,0.14499330520629883,41
Coins,27.70607349430341,0.8178828906066835,0.24648523330688477,14,27.68181355788402,0.8116555872031244,0.2584049701690674,34
Astronaut,25.081231864848807,0.6960607918287371,0.14714694023132324,17,25.07837806083705,0.6899583870414039,0.18031883239746094,20
Moon,34.04385584350672,0.9153053319758908,0.14755988121032715,16,34.03476820635816,0.9147559999951541,0.16455602645874023,43
Checkerboard,43.979901031967955,0.9701615749552823,0.12888431549072266,3,37.1591158545218,0.9469646108842174,0.14559602737426758,5
